Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
RailEuropeNorthAmericaInc‐DataBreach,,4/30/2018,11/29/2017,,Indiana,173,,
RailEuropeSAS‐DataBreach,,5/11/2018,6/15/2017,,Indiana,26,,
RainforestAllianceHoldingInc‐DataBreach,,11/12/2018,10/3/2018,,Indiana,1,,
RamyBrookLLC‐DataBreach,,4/24/2018,3/18/2018,,Indiana,2,,
RBCRoyalBank,,1/31/2018,10/3/2017,,Indiana,2,,
RBCWealthManagement‐DataBreach,,8/8/2018,,,Indiana,2,,
RBCWealthManagement‐DataBreach,,5/16/2018,,,Indiana,1,,
"Rea.deemingBeauty,Inc.d/b/abeautyblender",,1/5/2018,4/23/2015,,Indiana,201,,
RedhorseCorporation‐DataBreach,,8/22/2018,2/28/2018,,Indiana,1,,
REDICOManagementInconbehalfofAmericanHouse‐DataBreach,,9/19/2018,9/10/2018,,Indiana,4,,
ReidHealth‐DataBreach,,10/30/2018,7/9/2018,,Indiana,1,,
REMIndianaInc‐DataBreach,,3/20/2018,12/21/2017,,Indiana,4,,
RemingtonHotelsLLC,,3/2/2018,2/1/2018,,Indiana,1,,
"RemoteDBAExperts,LLC",,2/1/2018,1/17/2018,,Indiana,2,,
RenaissancePhilanthropicSolutionsGroup‐DataBreach,,10/18/2018,6/5/2018,,Indiana,807,,
ResidentialCareXIIILLCdbaAsterPlace‐DataBreach,,10/30/2018,2/22/2018,,Indiana,73,,
RevUpGroupLLCDBARevUpSports‐DataBreach,,6/21/2018,9/19/2017,,Indiana,89,,
RichardOwenNurseryInc‐DataBreach,,9/5/2018,9/29/2017,,Indiana,297,,
RISEWisconsinInc‐DataBreach,,6/7/2018,4/8/2018,,Indiana,4,,
RiverCityMediaLLC‐DataBreach,,,,,Indiana,,,
RiverMendHealthLLC‐DataBreach,,4/10/2018,3/27/2018,,Indiana,1,,
RMChin&AssociatesInc‐DataBreach,,3/21/2018,1/23/2018,,Indiana,1,,
RMHFranchiseHoldingsInc,,3/2/2018,12/6/2017,,Indiana,,,
RoadrunnerTransportationSystemsInc‐DataBreach,,9/10/2018,4/1/2018,,Indiana,775,,
RobertGrahamDesignsLLC‐DataBreach,,12/7/2018,9/27/2018,,Indiana,12,,
RoosLangan&McKendreeLLP‐DataBreach,,3/26/2018,2/15/2018,,Indiana,4,,
RosewoodHotelGroup‐DataBreach,,1/19/2018,5/29/2016,,Indiana,41,,
RotaryInternational,,3/13/2018,6/1/2017,,Indiana,14,,
RoundPointMortgageServicingCorporation‐Data Breach,,,11/26/2018,,Indiana,3,,
RRBowkerLLC‐DataBreach,,11/20/2018,5/1/2018,,Indiana,228,,
RushMemorialHospital‐DataBreach,,,,,Indiana,,,
SABICInnovativePlastics‐DataBreach,,11/14/2018,5/15/2018,,Indiana,3,,
SaginawValleyStateUniversity,,1/24/2018,11/26/2017,,Indiana,24,,
SaksFifthAvenue‐DataBreach,,,,,Indiana,,,
SalinBankandTrustCompany‐DataBreach,,7/13/2018,7/11/2018,,Indiana,8,,
SalterLabs‐DataBreach,,8/27/2018,4/9/2018,,Indiana,25,,
SanfordHeislerSharp‐DataBreach,,7/13/2018,5/9/2018,,Indiana,1,,
SanibelCaptivaTrustCompany‐DataBreach,,9/7/2018,7/30/2018,,Indiana,7,,
"SantaCruzBioTechnology,Inc.",,2/22/2018,12/17/2017,,Indiana,1,,
SchlageLockCompanyLLC‐DataBreach,,7/11/2018,7/10/2018,,Indiana,6,,
Scoppechio,,1/26/2018,1/24/2018,,Indiana,27,,
Scrapbook.comLLC‐DataBreach,,10/19/2018,9/14/2018,,Indiana,14,,
SDIInc,,3/2/2018,2/12/2018,,Indiana,2,,
SearsHoldingsManagementCorporation‐DataBreach,,4/25/2018,9/27/2017,,Indiana,"1,634",,
SecurityNationalMortgageCompany‐DataBreach,,9/11/2018,5/4/2018,,Indiana,13,,
SecurusTechnologiesInc‐DataBreach,,,5/15/2018,,Indiana,65,,
SEIULocal32BJ‐DataBreach,,5/25/2018,11/13/2017,,Indiana,13,,
SekisuiDiagnostics‐DataBreach,,4/13/2018,4/6/2018,,Indiana,1,,
SeniorLifestyleCorporation‐DataBreach,,12/7/2018,11/7/2018,,Indiana,23,,
SentryInsuranceaMutualCompany‐DataBreach,,6/6/2018,2/1/2017,,Indiana,1,,
SESEnvironmental,,1/25/2018,5/30/2007,,Indiana,14,,
Seterus‐DataBreach,,5/29/2018,,,Indiana,,,
SFCKrumrie/ReadinessNCO,,,,,Indiana,,,
SGSNorthAmericaInc‐DataBreach,,6/29/2018,2/26/2018,,Indiana,4,,
SheetMetalWorkersNationalPensionFund‐DataBreach,,6/28/2018,6/6/2018,,Indiana,43,,
SHEIN‐DataBreach,,9/21/2018,6/1/2018,,Indiana,"10,000",,
ShoeStationInc‐DataBreach,,10/3/2018,7/14/2018,,Indiana,2,,
shopPOPdisplaysInc‐DataBreach,,6/11/2018,4/8/2018,,Indiana,26,,
ShutterflyInc‐DataBreach,,3/27/2018,1/11/2018,,Indiana,13,,
SierraNevadaBrewingCo‐DataBreach,,8/28/2018,6/12/2018,,Indiana,8,,
SignatorInvestorsInc‐DataBreach,,8/30/2018,8/16/2018,,Indiana,1,,
SignatureSystemsGroupLLC‐DataBreach,,4/24/2018,2/2/2018,,Indiana,2,,
SimeonSPatestas‐DataBreach,,11/9/2018,,,Indiana,1,,
SirchieAcquisitionCompany‐DataBreach,,11/5/2018,10/5/2018,,Indiana,1,,
SJGorowitzAccountingandTaxServicesPC‐DataBreach,,7/9/2018,5/1/2018,,Indiana,1,,
SkillsoftCorporation‐DataBreach,,12/21/2018,12/10/2018,,Indiana,3,,
SmithandNephew‐DataBreach,,11/16/2018,10/30/2018,,Indiana,1,,
SniderFleetSolutions‐DataBreach,,10/1/2018,4/1/2018,,Indiana,11,,
SoleraNationalBank‐DataBreach,,6/25/2018,1/18/2018,,Indiana,12,,
SOSIntlLLC‐DataBreach,,6/28/2018,2/5/2018,,Indiana,13,,
SouthernNationalBancorpofVirginiad/b/aSonabank,,10/31/2017,6/4/2017,,Indiana,8,,
SouthportFamilyandSportsMedicine‐DataBreach,,5/29/2018,1/1/2017,,Indiana,15,,
SouthwestAirlinesCo‐DataBreach,,4/20/2018,10/1/2017,,Indiana,618,,
SPIndustriesInc‐DataBreach,,5/13/2018,2/9/2018,,Indiana,1,,
SpringstoneFinancial‐DataBreach,,12/14/2018,7/27/2018,,Indiana,99,,
SprintCorporation‐DataBreach,,3/30/2018,3/2/2018,,Indiana,2,,
SquirePattonBoggs(US)LLP‐DataBreach,,3/12/2018,1/31/2018,,Indiana,1,,
StaffQuick‐DataBreach,,4/27/2018,12/12/2017,,Indiana,23,,
StandardInsuranceCompany‐DataBreach,,5/10/2018,1/30/2017,,Indiana,2,,
StarTitlePartnersofPalmHarborLLC‐DataBreach,,10/26/2018,6/4/2018,,Indiana,11,,
StataCorpLLC‐DataBreach,,9/21/2018,9/13/2018,,Indiana,8,,
State o. Indiana,,1/8/2018,12/22/2017,,Indiana,2,,
State o. Indiana,,1/11/2018,11/24/2017,,Indiana,2,,
State o. Indiana,,12/4/2017,12/3/2017,,Indiana,4,,
State o. Indiana,,1/10/2018,12/15/2017,,Indiana,1,,
SteinEriksenLodgeHotel‐DataBreach,,6/7/2018,9/9/2017,,Indiana,2,,
SteinMartInc‐DataBreach,,11/13/2018,12/28/2017,,Indiana,"2,240",,
STLInternationalIncdbaTeeter‐DataBreach,,10/22/2018,4/11/2018,,Indiana,273,,
StMarysHealthIncdbaStVincentEvansville‐DataBreach,,5/31/2018,2/15/2018,,Indiana,"3,010",,
StMarysMedicalGroupLLCdbaStVincentEvansvilleMedicalGroup‐DataBreach,,11/30/2018,10/19/2018,,Indiana,1,,
STPNuclearOperatingCompany,,12/20/2017,12/12/2017,,Indiana,,,
StrategicAnalysisInc‐DataBreach,,4/19/2018,4/20/2015,,Indiana,15,,
StVincentDunnHospital‐DataBreach,,,,,Indiana,,,
StVincentWomensHospital‐DataBreach,,,,,Indiana,2,,
SunspireHealth‐DataBreach,,7/27/2018,3/1/2018,,Indiana,3,,
SunTrustBanksInc‐DataBreach,,,,,Indiana,342,,
SVAMInternationalInc‐DataBreach,,7/26/2018,4/24/2018,,Indiana,1,,
SwensonSaurerGerberAndersonandCo.Ltd.,,3/6/2018,1/15/2018,,Indiana,1,,
SynchronyFinancial‐DataBreach,,12/3/2018,12/28/2017,,Indiana,615,,
SystemeSoftwareInc‐DataBreach,,6/8/2018,5/7/2018,,Indiana,111,,
TacoJohnsofIowa‐DataBreach,,5/10/2018,7/14/2017,,Indiana,1,,
"talentReef,Inc.",,1/9/2018,10/16/2017,,Indiana,30,,
TallahasseeMemorialHealthcareInc‐DataBreach,,10/17/2018,5/8/2018,,Indiana,1,,
Target‐DataBreach,,,,,Indiana,,,
TargetDirectMarketingLLC‐DataBreach,,5/30/2018,,,Indiana,2,,
TaskRabbitInc‐DataBreach,,5/10/2018,4/11/2018,,Indiana,"10,159",,
TaylorUniversity‐DataBreach,,4/4/2018,1/31/2018,,Indiana,9,,
TCMBankNA‐DataBreach,,8/3/2018,3/5/2017,,Indiana,257,,
TealBecker&ChiaramonteCPAsPC‐DataBreach,,3/29/2018,11/29/2017,,Indiana,3,,
"Tech Rabbit, LLC",,9/21/2018,2/22/2017,,Indiana,825,,
TeenSafe‐DataBreach,,,,,Indiana,,,
TelestreamLLC‐DataBreach,,4/4/2018,2/8/2018,,Indiana,3,,
TemeculaMotorsportsInc‐DataBreach,,5/31/2018,2/9/2018,,Indiana,17,,
TempTationsHomeLLCdbaTaraatHome‐DataBreach,,4/16/2018,8/1/2017,,Indiana,113,,
TempurSealyInternationalInc‐DataBreach,,4/25/2018,4/10/2018,,Indiana,1,,
"The Information and Referral Federation of Los Angeles County, Inc. dba 211 LA County",,7/5/2018,3/14/2018,,Indiana,42,,
TheAffiliatedGroup‐DataBreach,,9/18/2018,11/20/2017,,Indiana,131,,
TheBoardofCommissionersoftheCountyofLaGrange‐DataBreach,,4/17/2018,11/8/2017,,Indiana,23,,
TheCityofBakersfield‐DataBreach,,11/12/2018,8/11/2018,,Indiana,2,,
TheCityofBozemanMontana‐DataBreach,,7/16/2018,7/1/2017,,Indiana,1,,
TheCocaColaCompany,,1/22/2018,,,Indiana,2,,
TheCocaColaCompany,,5/21/2018,8/7/2015,,Indiana,21,,
TheConlanCompany‐DataBreach,,8/21/2018,8/13/2018,,Indiana,1,,
TheEducationalEmployeesSupplementaryRetirementSystemofFairfaxCounty‐DataBreach,,6/19/2018,5/7/2018,,Indiana,5,,
TheFruitfulYieldInc‐DataBreach,,7/11/2018,5/29/2018,,Indiana,14,,
TheHanoverInsuranceCompany‐DataBreach,,3/26/2018,12/6/2017,,Indiana,174,,
TheInternationalMissionBoard‐DataBreach,,7/6/2018,2/14/2018,,Indiana,986,,
TheKraftHeinzCompany,,2/27/2018,,,Indiana,1,,
TheLincolnNationalLifeInsuranceCompany‐DataBreach,,4/2/2018,1/29/2018,,Indiana,644,,
TheMid‐AtlanticCarpenters'TrainingCenters,,1/3/2018,10/19/2017,,Indiana,5,,
TheNationalRegistryofEmergencyMedicalTechnicians,,1/25/2018,11/17/2017,,Indiana,1,,
TheNationalRestaurantAssociation‐DataBreach,,4/30/2018,9/27/2017,,Indiana,31,,
TheNorthwesternMutualLifeInsuranceCompany‐DataBreach,,10/10/2018,8/23/2018,,Indiana,1,,
ThePleasureChestLTD‐DataBreach,,5/3/2018,10/11/2017,,Indiana,3,,
TheRenaissanceCompanies,,2/28/2018,9/22/2017,,Indiana,13,,
ThermoFisherScientificInc‐DataBreach,,3/30/2018,,,Indiana,29,,
TheTaxSpecialists‐DataBreach,,11/20/2018,,,Indiana,2,,
TheTownofChristiansburg‐DataBreach,,11/26/2018,5/17/2018,,Indiana,1,,
TheVanguardGroupInc,,3/6/2018,2/14/2018,,Indiana,1,,
TheVariableAnnuityLifeInsuranceCompany‐DataBreach,,7/17/2018,,,Indiana,1,,
ThomasChandlerThomas&HinshawLLP‐DataBreach,,6/22/2018,2/15/2018,,Indiana,5,,
TipmontREMC‐DataBreach,,8/23/2018,7/19/2018,,Indiana,8,,
TitleNine‐DataBreach,,9/7/2018,5/19/2018,,Indiana,9,,
TKCHoldingsInc‐DataBreach,,8/26/2018,4/13/2018,,Indiana,6,,
TOA(USA)Inc,,2/28/2018,3/1/2014,,Indiana,467,,
TommieCopperInc‐DataBreach,,7/11/2018,11/10/2017,,Indiana,548,,
TotalPhasseInc‐DataBreach,,6/11/2018,3/2/2018,,Indiana,3,,
ToyotaIndustriesNorthAmericaInc‐DataBreach,,10/1/2018,8/15/2018,,Indiana,"6,630",,
TradeMotion‐DataBreach,,7/24/2018,10/13/2017,,Indiana,"1,036",,
TranDotComSolutions‐DataBreach,,3/27/2018,,,Indiana,1,,
Transamerica,,6/1/2018,3/1/2017,,Indiana,"7,770",,
TransamericaRetirementSolutionsLLC‐DataBreach,,11/2/2018,8/22/2018,,Indiana,357,,
TransUnionLLC‐DataBreach,,10/8/2018,7/26/2017,,Indiana,16,,
TransUnionLLC‐DataBreach,,10/23/2018,2/22/2017,,Indiana,57,,
"TravisMathew, LLC",,10/25/2018,8/13/2018,,Indiana,108,,
TrinityCollegeofNursingandHealthSciences‐DataBreach,,8/9/2018,7/27/2018,,Indiana,1,,
"TrueNetCommunications,Inc.",,,,,Indiana,,,
TrustCompanyofIllinoisTCWealthPartners‐DataBreach,,6/29/2018,4/25/2018,,Indiana,39,,
TurnerConstructionCompany‐DataBreach,,12/10/2018,9/13/2018,,Indiana,2,,
TuskegeeUniversity‐DataBreach,,6/21/2018,9/24/2017,,Indiana,168,,
"Tx:TeamRehab,Inc.",,1/22/2018,10/30/2017,,Indiana,2,,
UberTechnologiesInc‐DataBreach,,10/24/2018,8/30/2018,,Indiana,2,,
UberTechnologiesInc‐DataBreach,,,,,Indiana,1,,
UMHPropertiesInc‐DataBreach,,3/15/2018,2/14/2018,,Indiana,124,,
UnderArmour/MyFitnessPalApp‐DataBreach,,,,,Indiana,,,
UnifiedTrustCompanyNA‐DataBreach,,11/7/2018,12/6/2017,,Indiana,"1,228",,
UnionAssociatedPhysiciansClinicdbaUnionMedicalGroup‐DataBreach,,2/22/2018,2/10/2018,,Indiana,4,,
UnionHospital,,1/23/2018,1/18/2018,,Indiana,1,,
UnionHospitalInc‐DataBreach,,6/29/2018,6/14/2018,,Indiana,1,,
UnitedDentalPartners,,3/7/2018,1/2/2018,,Indiana,2,,
UnitedServicesAutomobileAssociation‐DataBreach,,8/15/2018,8/7/2018,,Indiana,1,,
UniversityofToledo‐DataBreach,,4/30/2018,1/16/2018,,Indiana,70,,
UniversityofWisconsin‐SuperiorFoundation,,2/22/2018,2/1/2018,,Indiana,20,,
UnknownRespondent,,,,,Indiana,,,
UnoAllaVoltaLLC‐DataBreach,,5/29/2018,4/18/2018,,Indiana,26,,
UPS‐DataBreach,,3/14/2018,2/14/2018,,Indiana,59,,
UrsaFarmersCooperative‐DataBreach,,4/3/2018,2/7/2018,,Indiana,2,,
USFacilities‐DataBreach,,12/19/2018,5/19/2018,,Indiana,7,,
USGreenFiberLLC‐DataBreach,,4/2/2018,2/12/2018,,Indiana,5,,
UTEC‐DataBreach,,6/4/2018,3/23/2018,,Indiana,88,,
ValleyoftheSunYMCA,,1/17/2018,9/21/2017,,Indiana,3,,
VanguardDealerServices‐DataBreach,,9/26/2018,7/27/2018,,Indiana,1,,
VentivTechnologyInc.,,2/1/2018,10/14/2017,,Indiana,3,,
VerintSystemsInc‐DataBreach,,5/11/2018,7/28/2017,,Indiana,1,,
VictoriaIndependentSchoolDistrict‐DataBreach,,4/4/2018,7/11/2017,,Indiana,6,,
VillageofWellington‐DataBreach,,6/7/2018,11/28/2017,,Indiana,5,,
VillagePeopleLLC‐DataBreach,,9/25/2018,8/14/2018,,Indiana,2,,
ViyetLLCdbaSothebysHome‐DataBreach,,11/29/2018,,,Indiana,19,,
VSAPartnersInc,,1/24/2018,12/1/2017,,Indiana,5,,
WalgreensCo‐DataBreach,,6/1/2018,12/20/2017,,Indiana,35,,
WallerandAssociatesInc‐DataBreach,,6/29/2018,4/29/2016,,Indiana,2,,
WaltersandMasonRetailIncdbaAltardState‐DataBreach,,11/30/2018,8/15/2018,,Indiana,228,,
WashingtonInitiativeforSupportiveEmployment‐DataBreach,,11/14/2018,9/8/2018,,Indiana,1,,
WeddleBrothersConstructionCompaniesInc‐DataBreach,,11/6/2018,8/12/2017,,Indiana,2185,,
WeicherCompany‐DataBreach,,6/11/2018,12/1/2017,,Indiana,2,,
WeilAkmanBaylinColemanPA‐DataBreach,,6/7/2018,3/23/2018,,Indiana,1,,
WelkResortGroupInc‐DataBreach,,7/25/2018,9/29/2017,,Indiana,5,,
WellsGardenerTechnologiesInc‐DataBreach,,9/5/2018,6/25/2018,,Indiana,1,,
WestEndBankSB‐DataBreach,,9/21/2018,9/18/2018,,Indiana,1,,
WestminsterCollege‐DataBreach,,12/28/2018,5/1/2018,,Indiana,2,,
WestMinsterInglesideKingFarmPresbyterianRetirementCommunities,,1/19/2018,6/21/2017,,Indiana,6,,
WhitmerandCompanyCPAsLLP‐DataBreach,,8/20/2018,12/24/2017,,Indiana,13,,
WhitmerCompanyCPA'sLP‐DataBreach,,4/10/2018,5/1/2017,,Indiana,14,,
WholeFoodsMarketGroupInc‐DataBreach,,10/31/2018,8/3/2018,,Indiana,9,,
WieseUSAInc‐DataBreach,,8/17/2018,2/15/2018,,Indiana,4,,
"WilliamA.Robinson,CPA",,1/31/2018,1/15/2018,,Indiana,1,,
WisdomWealthAbundanceLLC,,,,,Indiana,,,
WithumSmithBrownPC‐DataBreach,,4/25/2018,3/28/2018,,Indiana,3,,
WoodlawnHospital‐DataBreach,,,,,Indiana,,,
WorldTravelHoldingsInc‐DataBreach,,4/16/2018,10/1/2017,,Indiana,17,,
WWGraingerInc‐DataBreach,,4/18/2018,9/26/2017,,Indiana,371,,
WyndhamVacationResortsInc‐DataBreach,,11/15/2018,9/17/2018,,Indiana,4,,
XCommerceIncdbaMagentoInc‐DataBreach,,,,,Indiana,,,
XPOLogisticsInc‐DataBreach,,4/2/2018,2/16/2018,,Indiana,1,,
YaleUniversity‐DataBreach,,7/26/2018,4/1/2008,,Indiana,555,,
YRCWorldwideInc‐DataBreach,,9/21/2018,7/24/2018,,Indiana,938,,
ZenithAmericanSolutions‐DataBreach,,3/21/2018,1/24/2018,,Indiana,1,,
ZimmerUSIncdbaZimmerBiomet‐DataBreach,,6/11/2018,5/24/2018,,Indiana,54,,
ZRSManagementInc‐DataBreach,,5/16/2018,3/1/2018,,Indiana,5,,
zumBrunnen‐DataBreach,,12/28/2018,8/7/2018,,Indiana,1,,
ZurichAmericanInsuranceCompany‐DataBreach,,9/1/2018,9/1/2013,,Indiana,1,,
47 BrandLLCandTwinsRetailLLC‐DataBreach,,8/30/2019,,,Indiana,26,,
AandAGlobalImportsInc‐DataBreach,,1/9/2019,,,Indiana,553,,
ATCrossCompany‐DataBreach,,6/26/2019,,,Indiana,18,,
AARCorp‐DataBreach,,8/6/2019,,,Indiana,556,,
AbbottLaboratories‐DataBreach,,2/6/2019,,,Indiana,88,,
AbelHR‐DataBreach,,4/25/2019,,,Indiana,6,,
ABMIndustriesIncorporated‐DataBreach,,3/12/2019,,,Indiana,652,,
AboundWealth‐DataBreach,,1/28/2019,,,Indiana,2,,
AccurateWordLLC‐DataBreach,,8/16/2019,,,Indiana,6,,
AcrisureHeritageInsuranceAgencyLLCdbaTheHeritageCompanies‐DataBreach,,4/10/2019,,,Indiana,3,,
AcrisureLLCdbaFiliceInsuranceAgency‐DataBreach,,5/31/2019,,,Indiana,20,,
AcuityAMutualInsuranceCompany‐DataBreach,,3/20/2019,,,Indiana,3,,
AdenaHealthSystem‐DataBreach,,12/31/2018,,,Indiana,3,,
AdvocateAuroraHealthIncdbaAdvoateChristMedicalCenter‐DataBreach,,4/25/2019,,,Indiana,4,,
AdvocateShermanHospital‐DataBreach,,3/8/2019,,,Indiana,18,,
AegisMedicalGroup‐DataBreach,,11/8/2019,,,Indiana,5,,
AeroGrowInternationalInc‐DataBreach,,4/5/2019,,,Indiana,424,,
AetnaInc‐DataBreach,,1/30/2019,,,Indiana,2,,
AetnaLifeInsuranceCompany‐DataBreach,,5/17/2019,,,Indiana,1,,
AetrexWorldwideInc‐DataBreach,,1/17/2019,,,Indiana,206,,
AGSourceInc‐DataBreach,,3/22/2019,,,Indiana,6,,
AimbridgeHospitalityHoldingsLLC‐DataBreach,,12/31/2018,,,Indiana,1989,,
Aires‐DataBreach,,8/1/2019,,,Indiana,20,,
AisinHoldingsofAmericaInc‐DataBreach,,5/24/2019,,,Indiana,"3,403",,
AkinDohertyKleinandFeugePC‐DataBreach,,5/14/2019,,,Indiana,10,,
AkunaCapitalLLC‐DataBreach,,10/10/2019,,,Indiana,2,,
AlanaHealthcare‐DataBreach,,4/12/2019,,,Indiana,2,,
AlightSolutionsLLC‐DataBreach,,8/26/2019,,,Indiana,105,,
AllConnectInc‐DataBreach,,8/13/2019,,,Indiana,1,,
AllenCommunityCollege‐DataBreach,,9/17/2019,,,Indiana,1,,
AllstateInsuranceCompany‐DataBreach,,4/10/2019,,,Indiana,7,,
ALMMediaLLC‐DataBreach,,1/23/2019,,,Indiana,17,,
AmateurAthleticUnion‐DataBreach,,9/13/2019,,,Indiana,"5,286",,
AmericaJuiceCoLLC‐DataBreach,,4/8/2019,,,Indiana,40,,
AmericanAssociationofNurseAnesthetists‐DataBreach,,3/8/2019,,,Indiana,2,,
AmericanBoardofMedicalSpecialties‐DataBreach,,7/31/2019,,,Indiana,1,,
AmericanCancerSocietyInc‐DataBreach,,3/1/2019,,,Indiana,115,,
AmericanElectricPower‐DataBreach,,4/26/2019,,,Indiana,1,,
AmericanFranchiseHoldingsLLC‐DataBreach,,8/9/2019,,,Indiana,1,,
AmericanGeneralLifeInsuranceCompany‐DataBreach,,6/27/2019,,,Indiana,1,,
AmericanGeneralLifeInsuranceCompany‐DataBreach,,6/11/2019,,,Indiana,1,,
AmericanMedicalResponseInc‐DataBreach,,6/7/2019,,,Indiana,317,,
Americares‐DataBreach,,7/19/2019,,,Indiana,1,,
AmeripriseFinancialInc‐DataBreach,,2/27/2019,,,Indiana,21,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
Unknown,,Unknown,,,Indiana,,,
