"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Heartland Medical Clinic, Inc. dba Heartland Community Health Center","KS","Healthcare Provider","43768","02/10/2025","Hacking/IT Incident","Email","No",""
"Columbus Division of Fire","OH","Healthcare Provider","736","02/10/2025","Hacking/IT Incident","Network Server","No",""
"CPS Solutions, LLC","OH","Business Associate","500","02/10/2025","Hacking/IT Incident","Email","Yes",""
"Authority of the City of Bainbridge and Decatur County (“Memorial Hospital & Manor”)","GA","Healthcare Provider","120085","02/08/2025","Hacking/IT Incident","Network Server","No",""
"Blue & Co., LLC","IN","Business Associate","501","02/07/2025","Hacking/IT Incident","Network Server","Yes",""
"St. Andrew’s Resources for Seniors System","MO","Healthcare Provider","4434","02/07/2025","Hacking/IT Incident","Email","No",""
"The League Treatment Center","NY","Healthcare Provider","825","02/06/2025","Hacking/IT Incident","Network Server","No",""
"U.S. HEALTHWORKS-SMMPP, L.C.","AZ","Business Associate","10673","02/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Primary Health-SMMPP, L.C.","AZ","Business Associate","67567","02/06/2025","Hacking/IT Incident","Network Server","Yes",""
"St. Marys NDS LLC","AZ","Business Associate","11715","02/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Catholic Charities West Michigan","MI","Healthcare Provider","2000","02/06/2025","Hacking/IT Incident","Network Server","No",""
"VectraRx Mail Pharmacy Services, LLC","AZ","Healthcare Provider","109383","02/06/2025","Hacking/IT Incident","Network Server","No",""
"City of McKinney","TX","Health Plan","17751","02/03/2025","Unauthorized Access/Disclosure","Network Server","No",""
"ARC Community Services, Inc.","WI","Healthcare Provider","501","02/02/2025","Hacking/IT Incident","Network Server","No",""
"Jewish Child Care Association of New York","NY","Business Associate","501","01/31/2025","Hacking/IT Incident","Network Server","Yes",""
"Regence BlueShield","OR","Business Associate","783","01/31/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"Mental Health Association Inc. ","MA","Healthcare Provider","12633","01/31/2025","Unauthorized Access/Disclosure","Network Server","No",""
"Lucent Health Solutions, LLC","TN","Business Associate","37000","01/30/2025","Hacking/IT Incident","Email","Yes",""
"Methodist Homes of Alabama and Northwest Florida","AL","Healthcare Provider","908","01/30/2025","Hacking/IT Incident","Network Server","No",""
"ZI NEUROSCIENCES","NJ","Healthcare Provider","1000","01/30/2025","Unauthorized Access/Disclosure","Other, Paper/Films","No",""
"St Clair Orthopaedics & Sports Medicine","MI","Healthcare Provider","340000","01/30/2025","Hacking/IT Incident","Network Server","No",""
"Community Health Center, Inc.","CT","Healthcare Provider","1060936","01/30/2025","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Cardiology of Virginia, Inc. ","VA","Healthcare Provider","21085","01/28/2025","Hacking/IT Incident","Network Server","No",""
"Endo Group, LLC","NY","Healthcare Provider","4498","01/27/2025","Hacking/IT Incident","Email","No",""
"Spring River Mental Health & Wellness","KS","Healthcare Provider","3250","01/24/2025","Hacking/IT Incident","Network Server","No",""
"OrthoMinds, LLC","GA","Business Associate","501","01/24/2025","Hacking/IT Incident","Network Server","Yes",""
"Benefits Management Group, Inc. ","IL","Business Associate","501","01/24/2025","Hacking/IT Incident","Network Server","Yes",""
"Aprendamos Intervention Team, P.A.","NM","Healthcare Provider","1916","01/23/2025","Unauthorized Access/Disclosure","Email","No",""
"Inlet Health dba Communicare ","KY","Healthcare Provider","3771","01/22/2025","Hacking/IT Incident","Network Server","No",""
"Apex Custom Software","TX","Business Associate","1500","01/22/2025","Hacking/IT Incident","Network Server","Yes",""
"University Diagnostic Medical Imaging, PC","NY","Healthcare Provider","138080","01/21/2025","Hacking/IT Incident","Network Server","No",""
"LittleStar ABA Therapy","IN","Healthcare Provider","2530","01/21/2025","Hacking/IT Incident","Email","No",""
"Holdrege Memorial Homes, Inc. ","NE","Healthcare Provider","1446","01/20/2025","Hacking/IT Incident","Network Server","No",""
"OU Medicine, Inc. ","OK","Healthcare Provider","2537","01/17/2025","Hacking/IT Incident","Email","No",""
"Behavioral Health Resources","WA","Healthcare Provider","501","01/17/2025","Hacking/IT Incident","Network Server","No",""
"Allegheny Health Network Home Medical Equipment LLC and Allegheny Health Network Home Infusion LLC","PA","Healthcare Provider","292773","01/17/2025","Hacking/IT Incident","Network Server","Yes",""
"Asheville Eye Associates, PLLC","NC","Healthcare Provider","204984","01/17/2025","Hacking/IT Incident","Network Server","No",""
"Texas Health and Human Services Commission","TX","Health Plan","61104","01/16/2025","Unauthorized Access/Disclosure","Desktop Computer, Laptop","No",""
"Alliant Health Plans","GA","Health Plan","695","01/16/2025","Unauthorized Access/Disclosure","Paper/Films","No",""
"Bankers Cooperative Group, Inc.","NJ","Business Associate","14403","01/14/2025","Hacking/IT Incident","Email","Yes",""
"Han V. Duong, M.D.","CA","Healthcare Provider","1571","01/14/2025","Theft","Laptop","No",""
"Newport Harbor Pathology Medical Group, Inc.","CA","Healthcare Provider","501","01/10/2025","Hacking/IT Incident","Network Server","No",""
"Samaritan Counseling Center of the Fox Valley","WI","Healthcare Provider","956","01/10/2025","Hacking/IT Incident","Email","No",""
"Summa Health","OH","Healthcare Provider","874","01/10/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"MHMR Concho Valley","TX","Healthcare Provider","1338","01/09/2025","Hacking/IT Incident","Email","No",""
"Building Service Employees Insurance Health and Welfare Plan","MO","Health Plan","980","01/09/2025","Theft","Paper/Films","No",""
"BayMark Health Services, Inc.","TX","Business Associate","3170","01/08/2025","Hacking/IT Incident","Network Server","Yes",""
"McNall & Associates, P.C.","AK","Business Associate","10175","01/08/2025","Hacking/IT Incident","Network Server","Yes",""
"Eastern Idaho Public Health","ID","Healthcare Provider","759","01/07/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Medusind Inc.","FL","Business Associate","701475","01/07/2025","Hacking/IT Incident","Network Server","Yes",""
"Indiana University Health, Affiliated Covered Entity","IN","Healthcare Provider","515","01/07/2025","Hacking/IT Incident","Email","No",""
"DentaQuest","WI","Health Plan","868","01/06/2025","Unauthorized Access/Disclosure","Paper/Films","No",""
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service","MN","Healthcare Provider","41792","01/06/2025","Hacking/IT Incident","Network Server","No",""
"North Los Angeles County Regional Center","CA","Business Associate","500","01/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Ingham County Medical Care Facility, d/b/a Dobie Road","MI","Healthcare Provider","3078","01/05/2025","Hacking/IT Incident","Electronic Medical Record","Yes",""
"TruBridge, Inc. ","AL","Business Associate","3855","01/04/2025","Hacking/IT Incident","Email","Yes",""
"Buffalo Surgery Center","NY","Healthcare Provider","64000","01/04/2025","Hacking/IT Incident","Network Server","No",""
"The Plastic Surgery Center","NJ","Healthcare Provider","64813","01/03/2025","Hacking/IT Incident","Network Server","No",""
"Sidney Health Center","MT","Healthcare Provider","1370","01/03/2025","Unauthorized Access/Disclosure","Email","No",""
"PrintComm, Inc.","MI","Business Associate","3864","01/02/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Pacific Pulmonary Medical Group","CA","Healthcare Provider","12723","12/31/2024","Hacking/IT Incident","Network Server","No",""
"Lifetime Psychiatry, LLC","MO","Healthcare Provider","16926","12/30/2024","Hacking/IT Incident","Email","No",""
"Tycon Medical Systems, Inc.","VA","Healthcare Provider","112847","12/30/2024","Hacking/IT Incident","Network Server","No",""
"Youngs Counseling, PLLC","TX","Healthcare Provider","790","12/30/2024","Unauthorized Access/Disclosure","Email","No",""
"Omaha Surgical Center","NE","Healthcare Provider","1110","12/30/2024","Hacking/IT Incident","Email","No",""
"Dragonfly Health","AZ","Business Associate","501","12/27/2024","Hacking/IT Incident","Email","Yes",""
"Word & Brown Insurance Administrators, Inc. ","CA","Business Associate","501","12/23/2024","Hacking/IT Incident","Desktop Computer, Network Server","Yes",""
"Dignity Health Lassen Medical Clinic ","CA","Healthcare Provider","65482","12/23/2024","Hacking/IT Incident","Network Server","No",""
"Khalil Foundation (DBA Khalil Center)","IL","Healthcare Provider","1153","12/22/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Effortless Office Enterprises, LLC","NV","Business Associate","3112","12/20/2024","Hacking/IT Incident","Network Server","Yes",""
"In-Home Attendant Services Ltd.","TX","Healthcare Provider","22000","12/20/2024","Hacking/IT Incident","Network Server","No",""
"HealthEquity, Inc.","UT","Business Associate","1549","12/20/2024","Hacking/IT Incident","Network Server","Yes",""
"Vickers Engineering, Inc. ","MI","Health Plan","857","12/20/2024","Hacking/IT Incident","Network Server","No",""
"AllyScripts, LLC","AL","Healthcare Provider","776","12/20/2024","Hacking/IT Incident","Network Server","No",""
"Youth Eastside Services","WA","Healthcare Provider","501","12/20/2024","Hacking/IT Incident","Network Server","No",""
"Kansas City Hospice, Inc","MO","Healthcare Provider","3621","12/20/2024","Hacking/IT Incident","Network Server","No",""
"Menorah Life, Inc.","FL","Healthcare Provider","2736","12/20/2024","Hacking/IT Incident","Electronic Medical Record","No",""
"BCBS of TX","IL","Health Plan","1028","12/20/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Aetna ACE","CT","Health Plan","1317","12/20/2024","Unauthorized Access/Disclosure","Other Portable Electronic Device","Yes",""
"Alta Resources Corp.","WI","Health Plan","12162","12/20/2024","Hacking/IT Incident","Network Server","No",""
"Richmond University Medical Center","NY","Healthcare Provider","674033","12/19/2024","Hacking/IT Incident","Network Server","No",""
"Cardiology Associates of Mobile","AL","Healthcare Provider","172678","12/19/2024","Hacking/IT Incident","Network Server","No",""
"Golden Age Home Health Inc.","OK","Healthcare Provider","2280","12/18/2024","Hacking/IT Incident","Network Server","No",""
"CHCM, Inc. dba College Hospital Costa Mesa","CA","Healthcare Provider","591","12/18/2024","Hacking/IT Incident","Network Server","No",""
"Ott Cone & Redpath, P.A.","NC","Business Associate","22171","12/18/2024","Hacking/IT Incident","Email","Yes",""
"Indiana University Health, Affiliated Covered Entity","IN","Healthcare Provider","3862","12/17/2024","Hacking/IT Incident","Email","No",""
"PracticeSuite, Inc.","FL","Business Associate","13000","12/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Regional Care, Inc.","NE","Healthcare Clearing House","225728","12/17/2024","Hacking/IT Incident","Network Server","No",""
"California Correctional Health Care Services ","CA","Healthcare Provider","1416","12/17/2024","Loss","Paper/Films","No",""
"Kitsap Mental Health Services","WA","Healthcare Provider","500","12/16/2024","Hacking/IT Incident","Network Server","No",""
"Massachusetts Department of Mental Health","MA","Healthcare Provider","959","12/16/2024","Loss","Other, Other Portable Electronic Device","No",""
"Teton Orthopaedics","PA","Healthcare Provider","13409","12/16/2024","Hacking/IT Incident","Network Server","No",""
"VisionPoint Eye Center, PLLC ","IL","Healthcare Provider","66926","12/15/2024","Hacking/IT Incident","Network Server","No",""
"Summit Medical Group, PLLC","TN","Healthcare Provider","464159","12/13/2024","Hacking/IT Incident","Email","No",""
"Northwest Asthma and Allergy Center","WA","Healthcare Provider","1000","12/12/2024","Hacking/IT Incident","Email","No",""
"ConnectOnCall.com, LLC","DE","Business Associate","914138","12/11/2024","Hacking/IT Incident","Network Server","Yes",""
"El Paso Healthcare System, Ltd. d/b/a Las Palmas Del Sol Healthcare","TX","Healthcare Provider","1854","12/11/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"River Region Cardiology","AL","Healthcare Provider","48600","12/11/2024","Hacking/IT Incident","Network Server","No",""
"Rumpke Consolidated Companies, Inc. & Affiliates Benefits Plan","OH","Health Plan","16946","12/10/2024","Hacking/IT Incident","Network Server","No",""
"Hartson-Kennedy Inc. Group Benefit Plan","IN","Health Plan","619","12/09/2024","Hacking/IT Incident","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","43048","12/09/2024","Unauthorized Access/Disclosure","Email","No",""
"Center for Vein Restoration","MD","Business Associate","446094","12/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Village of Elm Grove","WI","Healthcare Provider","668","12/02/2024","Hacking/IT Incident","Network Server","No",""
"SAG-AFTRA Health Plan","CA","Health Plan","35592","12/02/2024","Hacking/IT Incident","Email","No",""
"Atrium Health","NC","Healthcare Provider","585959","12/02/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Jefferson Dental Center, Inc.","IN","Healthcare Provider","12340","11/27/2024","Hacking/IT Incident","Network Server","No",""
"Hardin County Emergency Medical Services","KY","Healthcare Provider","1046","11/27/2024","Hacking/IT Incident","Email","No",""
"Colonial Behavioral Health","VA","Healthcare Provider","29930","11/27/2024","Hacking/IT Incident","Network Server","No",""
"Continental Cafe Holdings, LLC Health Plan","MI","Health Plan","5039","11/27/2024","Hacking/IT Incident","Network Server","No",""
"Georgia Department of Public Health","GA","Healthcare Provider","500","11/26/2024","Hacking/IT Incident","Email","No",""
"Texas Tech University Health Sciences Center El Paso","TX","Healthcare Provider","815000","11/25/2024","Hacking/IT Incident","Network Server","No",""
"Texas Tech University Health Sciences Center","TX","Healthcare Provider","650000","11/25/2024","Hacking/IT Incident","Network Server","No",""
"Citadel of Northbrook","IL","Healthcare Provider","2155","11/25/2024","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Pavilion of Bridgeview","IL","Healthcare Provider","1407","11/25/2024","Hacking/IT Incident","Electronic Medical Record","Yes",""
"American Addiction Centers, Inc.","TN","Business Associate","410747","11/25/2024","Hacking/IT Incident","Network Server","Yes",""
"Conceptions Reproductive Associates of Colorado","CO","Healthcare Provider","80000","11/25/2024","Hacking/IT Incident","Network Server","No",""
"Vann Virginia Center for Orthopaedics, PC dba Atlantic Orthopaedic Specialists","VA","Healthcare Provider","15264","11/22/2024","Hacking/IT Incident","Email","No",""
"Lubbock County Hospital District","TX","Healthcare Provider","501","11/22/2024","Hacking/IT Incident","Network Server","No",""
"Pinnacle Claims Management","CA","Business Associate","1119","11/21/2024","Hacking/IT Incident","Network Server","Yes",""
"East Central Missouri Behavioral Health Services, Inc.","MO","Healthcare Provider","20000","11/21/2024","Hacking/IT Incident","Network Server","No",""
"York County ","PA","Healthcare Provider","501","11/20/2024","Hacking/IT Incident","Email","No",""
"Laboratory Services Cooperative ","WA","Healthcare Provider","501","11/20/2024","Hacking/IT Incident","Network Server","No",""
"AuthoraCare Collective","NC","Healthcare Provider","57944","11/19/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Athens County Bd of Dev. Disabilities ","OH","Healthcare Provider","3100","11/19/2024","Hacking/IT Incident","Network Server","No",""
"Terrace of Hialeah","FL","Healthcare Provider","1177","11/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Dolton Nursing & Rehab, LLC","IL","Healthcare Provider","1559","11/18/2024","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Berkshire Nursing & Rehab Center, LLC","IL","Healthcare Provider","4237","11/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Aperion Care Marseilles, LLC","IL","Healthcare Provider","1052","11/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Villa St. Francis Catholic Care Center","KS","Healthcare Provider","2522","11/18/2024","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"HealthFund Solutions, LLC","FL","Business Associate","5198","11/15/2024","Hacking/IT Incident","Email","Yes",""
"ESHA, Inc.","TX","Business Associate","76922","11/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Women’s Health (collectively, “the Practices”)","NY","Healthcare Provider","501","11/15/2024","Hacking/IT Incident","Network Server","No",""
"athenahealth, Inc.","MA","Business Associate","1974","11/15/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"VPS of MI PLLC","MI","Healthcare Provider","20604","11/15/2024","Hacking/IT Incident","Network Server","No",""
"ASPEN HEALTHCARE SERVICES INC","TX","Healthcare Provider","7195","11/15/2024","Hacking/IT Incident","Electronic Medical Record","No",""
"TriHealth H, LLC d/b/a TriHealth Physician Partners (“TriHealth”)","OH","Healthcare Provider","36753","11/14/2024","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Western Montana Mental Health Center","MT","Healthcare Provider","500","11/14/2024","Hacking/IT Incident","Network Server","No",""
"Physicians' Primary Care of Southwest Florida","FL","Healthcare Provider","500","11/14/2024","Hacking/IT Incident","Network Server","No",""
"Hopscotch Health Management, LLC","IL","Business Associate","4945","11/14/2024","Theft","Paper/Films","Yes",""
"Liberty Endo, LLC","NY","Healthcare Provider","942","11/13/2024","Hacking/IT Incident","Email","No",""
"Rocky Mountain Gastroenterology Associates PLLC ","CO","Healthcare Provider","366491","11/13/2024","Hacking/IT Incident","Network Server","No",""
"Radiologic Medical Services, P.C.","IA","Healthcare Provider","56902","11/12/2024","Hacking/IT Incident","Email","No",""
"Humboldt Independent Practice Association (Humboldt IPA)","CA","Healthcare Provider","500","11/11/2024","Hacking/IT Incident","Email","No",""
"United Seating and Mobility, LLC dba Numotion","TN","Healthcare Provider","2319","11/11/2024","Hacking/IT Incident","Email","No",""
"Mid-Minnesota Management Services d/b/a Central Resources","IL","Business Associate","1232","11/08/2024","Unauthorized Access/Disclosure","Other","Yes",""
"Huron Inc. Health Plan","MI","Health Plan","750","11/08/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Michigan Masonic Home","MI","Healthcare Provider","500","11/08/2024","Hacking/IT Incident","Email","No",""
"South West Family Medicine Associates, PA ","TX","Healthcare Provider","36959","11/07/2024","Hacking/IT Incident","Network Server","No",""
"Great Plains Regional Medical Center","OK","Healthcare Provider","133149","11/07/2024","Hacking/IT Incident","Network Server","No",""
"MDLand International Corporation ","NY","Business Associate","63052","11/07/2024","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Oklahoma Spine Hospital","OK","Healthcare Provider","38945","11/05/2024","Unauthorized Access/Disclosure","Email","No",""
"Planned Parenthood of Montana","MT","Healthcare Provider","56917","11/05/2024","Hacking/IT Incident","Network Server","No",""
"Thompson Coburn LLP","MO","Business Associate","305088","11/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Mohawk Valley Cardiology, P.C.","NY","Healthcare Provider","4973","11/04/2024","Unauthorized Access/Disclosure","Other","No",""
"Mid-Ohio Psychological Services Inc.","OH","Healthcare Provider","40345","11/01/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Brunswick Hospital Center","NY","Healthcare Provider","500","11/01/2024","Hacking/IT Incident","Network Server","No",""
"Northeast Professional Home Care, Inc.","OH","Healthcare Provider","648","11/01/2024","Hacking/IT Incident","Email","No",""
"Brain & Eye Connection Vision Clinic, PC","OK","Healthcare Provider","2207","11/01/2024","Hacking/IT Incident","Network Server","No",""
"Kaiser Foundation Hospitals","CA","Healthcare Provider","44600","11/01/2024","Hacking/IT Incident","Email","No",""
"Potomac Medical Aesthetics, LLC","MD","Healthcare Provider","2876","11/01/2024","Unauthorized Access/Disclosure","Email","No",""
"Rockford Gastroenterology Associates ","IL","Healthcare Provider","147253","10/30/2024","Hacking/IT Incident","Network Server","No",""
"Family Medical Center","MD","Healthcare Provider","2100","10/29/2024","Hacking/IT Incident","Network Server","No",""
"Boatright Inc.","IN","Healthcare Provider","750","10/29/2024","Hacking/IT Incident","Email","No",""
"BrightStar Care","IL","Healthcare Provider","1187","10/28/2024","Hacking/IT Incident","Email","No",""
"The Physical Medicine & Rehabilitation Center, P.A.","NJ","Healthcare Provider","4083","10/28/2024","Hacking/IT Incident","Network Server","No",""
"Mystic Valley Elder Services, CE","MA","Business Associate","85133","10/28/2024","Hacking/IT Incident","Network Server","No",""
"North Texas Medical Specialists ","TX","Healthcare Provider","994","10/28/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Native Village of Eyak Ilanka Community Health Center","AK","Healthcare Provider","512","10/25/2024","Hacking/IT Incident","Network Server","Yes",""
"Hawaii Radiologic Associates, Ltd. ","HI","Healthcare Provider","23205","10/25/2024","Hacking/IT Incident","Network Server","No",""
"St. Anthony Regional Hospital","IA","Healthcare Provider","501","10/25/2024","Hacking/IT Incident","Network Server","No",""
"Easterseals Rehabilitation Center Evansville","IN","Healthcare Provider","8394","10/25/2024","Hacking/IT Incident","Network Server","No",""
"Quest Diagnostics Incorporated","NJ","Healthcare Provider","1062","10/25/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Riverview Health","IN","Healthcare Provider","1562","10/25/2024","Hacking/IT Incident","Network Server","No",""
"GPS Sango Family Dentistry, PLLC d/b/a Sango Family Dentistry","TN","Healthcare Provider","27000","10/24/2024","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Gandara Mental Health Center ","MA","Healthcare Provider","20024","10/24/2024","Hacking/IT Incident","Network Server","No",""
"Northeast Spine and Sports Medicine, LLC","NJ","Healthcare Provider","6300","10/24/2024","Hacking/IT Incident","Network Server","No",""
"Positive Behavior Supports Corporation","FL","Healthcare Provider","2247","10/24/2024","Hacking/IT Incident","Network Server","No",""
"Mystic Valley Elder Services - Business Associate","MA","Business Associate","2402","10/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Arkansas Blue Cross and Blue Shield","AR","Health Plan","633","10/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Smiles in the Pines","NC","Healthcare Provider","1800","10/21/2024","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Other Portable Electronic Device, Paper/Films","No",""
"Clay Platte Family Medicine","MO","Healthcare Provider","53916","10/18/2024","Hacking/IT Incident","Network Server","No",""
"Advanced Recovery Equipment & Supplies, LLC","NY","Healthcare Provider","56000","10/18/2024","Hacking/IT Incident","Network Server","No",""
"Detroit Wayne Integrated Health Network","MI","Healthcare Provider","3347","10/18/2024","Hacking/IT Incident","Laptop","No",""
"RRCA Accounts Management Inc.","IL","Business Associate","115837","10/18/2024","Hacking/IT Incident","Desktop Computer, Network Server","Yes",""
"Summit Pathology and Summit Pathology Laboratories, Inc.","CO","Healthcare Provider","1813538","10/18/2024","Hacking/IT Incident","Network Server","No",""
"Chicago Cardiology Institute","IL","Healthcare Provider","2743","10/18/2024","Hacking/IT Incident","Email","No",""
"Valleygate Dental Surgery Centers of Charlotte, Fayetteville, and the West, LLC.","NC","Healthcare Provider","14589","10/17/2024","Hacking/IT Incident","Network Server","No",""
"Jacksonville Children's Multispecialty Clinics/Atlantic Medical Management ","NC","Healthcare Provider","2224","10/17/2024","Unauthorized Access/Disclosure","Email","No",""
"Sarah Bush Lincoln Fayette County Hospital","IL","Healthcare Provider","4845","10/16/2024","Hacking/IT Incident","Email","No",""
"Tri County Medical Supply And Respiratory Services Inc.","AR","Healthcare Provider","8000","10/16/2024","Improper Disposal","Paper/Films","No",""
"Center for Urban Community Services","NY","Business Associate","38000","10/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Ad Valorem Records, Inc. ","TN","Business Associate","590","10/11/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Gryphon Healthcare, LLC","TX","Business Associate","393358","10/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Tower Clock Eye Center","WI","Healthcare Provider","10737","10/10/2024","Hacking/IT Incident","Email","No",""
"Visionworks of America, Inc. ","TX","Healthcare Provider","39825","10/10/2024","Hacking/IT Incident","Email","No",""
"Wellfleet Group, LLC","MA","Business Associate","22959","10/08/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"DMEscripts, LLC","IN","Business Associate","9993","10/08/2024","Hacking/IT Incident","Email","Yes",""
"TheraCom, L.L.C.","PA","Healthcare Provider","9271","10/08/2024","Hacking/IT Incident","Network Server","No",""
"Smile Design Management LLC","FL","Healthcare Provider","500","10/07/2024","Hacking/IT Incident","Network Server","No",""
"Schneider Regional Medical Center","","Healthcare Provider","1570","10/07/2024","Hacking/IT Incident","Network Server","No",""
"Dohman, Akerlund & Eddy","NE","Business Associate","9941","10/07/2024","Hacking/IT Incident","Network Server","Yes",""
"University of Minnesota Board of Regents","MN","Healthcare Provider","1331","10/07/2024","Hacking/IT Incident","Email","No",""
"Ciox Health LLC, d/b/a Datavant Group","AZ","Business Associate","22897","10/07/2024","Hacking/IT Incident","Email","Yes",""
"ATSG, Inc","NY","Business Associate","909469","10/04/2024","Hacking/IT Incident","Network Server","Yes",""
"General Physician, P.C.","NY","Healthcare Provider","501","10/04/2024","Hacking/IT Incident","Email","No",""
"Bayhealth Medical Center","DE","Healthcare Provider","500","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Omni Family Health","CA","Healthcare Provider","468344","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Dr. Daniel J. Leeman, M.D.","TX","Healthcare Provider","50000","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Long Island Plastic Surgical Group, P.C.","NY","Healthcare Provider","161707","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1915","10/01/2024","Unauthorized Access/Disclosure","Laptop","No",""
"Connally Memorial Medical Center ","TX","Health Plan","1228","09/30/2024","Hacking/IT Incident","Email","No",""
"Texas Spine Consultants, PLLC ","TX","Healthcare Provider","8048","09/26/2024","Hacking/IT Incident","Email","No",""
"Community Clinic of Maui, Inc. dba Malama I Ke Ola Health Center","HI","Healthcare Provider","123816","09/26/2024","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","57891","09/26/2024","Hacking/IT Incident","Email","No",""
"Prentke Romich Company dba PRC-Saltillo","OH","Healthcare Provider","51627","09/25/2024","Hacking/IT Incident","Network Server","No",""
"DAP Health, Inc. ","CA","Healthcare Provider","129048","09/24/2024","Hacking/IT Incident","Email","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","778","09/24/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Asheville Arthritis and Osteoporosis Center, P.A.","NC","Healthcare Provider","58251","09/20/2024","Hacking/IT Incident","Network Server","No",""
"Muskogee City County Enhanced 911 Trust Authority","OK","Business Associate","180000","09/20/2024","Hacking/IT Incident","Network Server","Yes",""
"Jacobsen Construction Co., Inc. Health Plan","UT","Health Plan","2127","09/20/2024","Hacking/IT Incident","Network Server","No",""
"Southern Bone & Joint Specialists, PA (“Southern Bone”)","MS","Healthcare Provider","7162","09/17/2024","Hacking/IT Incident","Email","No",""
"Rim Country Health and Rehabilitation ","AZ","Healthcare Provider","721","09/16/2024","Hacking/IT Incident","Email","No",""
"ERLC LLC, d/b/a Elitecare Emergency Hospital","TX","Healthcare Provider","24754","09/16/2024","Hacking/IT Incident","Network Server","No",""
"Michigan Masonic Home","MI","Healthcare Provider","500","09/16/2024","Hacking/IT Incident","Email","No",""
"JTaylor & Associates LLC ","TX","Business Associate","22315","09/16/2024","Hacking/IT Incident","Email","Yes",""
"Maryville Academy","IL","Healthcare Provider","500","09/13/2024","Hacking/IT Incident","Network Server","No",""
"Atrium Health","NC","Healthcare Provider","32120","09/13/2024","Hacking/IT Incident","Email","No",""
"Chambers Co Public Hospital District No1 dba Chambers Health","TX","Healthcare Provider","85531","09/13/2024","Hacking/IT Incident","Network Server","No",""
"Young Consulting LLC","GA","Business Associate","966535","09/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Local 1964 ILA Health & Insurance Fund","NJ","Health Plan","2059","09/10/2024","Hacking/IT Incident","Network Server","No",""
"Millinocket Regional Hospital","ME","Healthcare Provider","813","09/09/2024","Hacking/IT Incident","Network Server","No",""
"Nationwide Recovery Services, Inc.","GA","Business Associate","501","09/09/2024","Hacking/IT Incident","Network Server","Yes",""
"oficina medica","","Healthcare Provider","2618","09/08/2024","Theft","Desktop Computer, Other Portable Electronic Device","No",""
"Welcome Health","CA","Healthcare Provider","597","09/06/2024","Hacking/IT Incident","Email","No",""
