Year,Date Reported,Organization,PDF Link,Date of Incident,Date of Discovery,Residents Affected,Breach Type,Notes
2024,5-20-2024,"Lash Group - Bayer Corporation (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5202024_Lash_GroupBayer_B5BF9D1B666B4.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 20, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Bayer Corporation (“Bayer”), about the nature and  circumstances of a recent data security incident at Lash Group.    On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained this information through a partnership with Ba"
2024,5-20-2024,"Lash Group - Genentech, Inc (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5202024_Lash_GroupGenentech_F6E42011223AC.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 20, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Genentech, Inc. (“Genentech”), about the nature and  circumstances of a recent data security incident at Lash Group.    On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained this information through a partnership with "
2024,5-22-2024,"Lash Group - Regeneron Pharmaceuticals, Inc (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5222024_Lash_GroupRegeneron_Pharmac_BC91A1F20F1D9.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 22, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Regeneron Pharmaceuticals, Inc. (“Regeneron”), about  the nature and circumstances of a recent data security incident at Lash Group.  The incident  affected 5,879 Iowa residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Gr"
2024,5-22-2024,Prudential Insurance Company of America,https://www.iowaattorneygeneral.gov/media/cms/5222024_Prudential_Insurance_Compan_F56EC740138A7.pdf,,,,Theft,"            May 22, 2024  BY EMAIL  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street, Des Moines, Iowa 50319-0106  consumer@ag.iowa.gov    To Whom It May Concern,  The Prudential Insurance Company of America (“Prudential”) is providing this notice of a  cybersecurity event to your office pursuant to Iowa Code Chapter 715C.2(8).      On Sunday, February 4, 2024, an unauthorized third party believed to be associated with a  cybercrime group obtained access to a Prudential employee’s computer account by acquiring log-in  credentials through social engineering of Prudential’s help desk vendor.  The unauthorized third- party subsequently acquired the log-in credentials of other Prudential employees.  On Monday,  February 5, 2024, Prudential became aware of this access, and promptly took steps to protect the  integrity of its systems and data.  Prudential activated its incident response plan and launched a  forensic in"
2024,5-23-2024,EFS Advisors LLC,https://www.iowaattorneygeneral.gov/media/cms/5232024_EFS_Advisors_LLC_51C7C299A1DB1.pdf,,,,,
2024,5-23-2024,"Lash Group - Dendreon Pharmaceuticals LLC (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5232024_Lash_GroupDendreon_Pharmace_5D94F540F51EA.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 23, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Dendreon Pharmaceuticals LLC (“Dendreon”), about the  nature and circumstances of a recent data security incident at Lash Group.  The incident affected  532 Iowa residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  m"
2024,5-23-2024,"Lash Group - Sumitomo Pharma America, Inc (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5232024_Lash_GroupSumitomo_Pharma_A_07D5DEABA30D6.pdf,,,,Theft,"Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007  +1.215.963.5000 United States  +1.215.963.5001 Gregory T. Parks  Partner  215.963.5170    gregory.parks@morganlewis.com  May 23, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Sumitomo Pharma America, Inc. (“Sumitomo”), about  the nature and circumstances of a recent data security incident at Lash Group.  The incident  affected 686 Iowa residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained thi"
2024,5-24-2024,A&A Services dba Sav-Rx,https://www.iowaattorneygeneral.gov/media/cms/5242024_AA_Services_dba_SavRx_65B21C8237520.pdf,,,,Theft,"    411 East Wisconsin Avenue  Suite 2400  Milwaukee, Wisconsin  53202-4428  414.277.5000  Fax 414.271.3552  www.quarles.com  Direct Dial:  (414) 277-5423  E-Mail:  Meghan.OConnor@quarles.com  Attorneys at Law in  Chicago  Denver  Indianapolis  Madison  Milwaukee  Minneapolis  Naples  Phoenix  San Diego  St. Louis  Tampa  Tucson  Washington, D.C.      May 24, 2024      VIA EMAIL TO consumer@ag.iowa.gov    Office of the Attorney General of Iowa  Hoover State Office Building  1305 E. Walnut Street  Des Moines IA 50319    Dear Sir or Madam:    Pursuant to Iowa Code § 715C.1, this is to notify you about a security incident A&A  Services d/b/a Sav-Rx (“A&A Services”) recently experienced and the steps they have taken in  response.  On October 8, 2023, A&A Services identified an interruption to its computer network.  As a result, A&A Services immediately took steps to secure its systems and engaged third- party cybersecurity experts. A&A Services’ information technology systems (“IT System”)"
2024,5-24-2024,"Lash Group - GlaxoSmithKline, LLC and GlaxoSmithKline Patient Access Programs Foundation (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5242024_Lash_GroupGSK_D27B89867D588.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 24, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, GlaxoSmithKline Group of Companies and the  GlaxoSmithKline Patient Access Programs Foundation (“GSK / GSK PAF”), about the nature and  circumstances of a recent data security incident at Lash Group.  The incident affected 6,188 Iowa  residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated f"
2024,5-28-2024,"Lash Group - Johnson & Johnson Services, Inc (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5282024__Lash_GroupJohnson__Johnson_F242D65092BF8.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 28, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Johnson & Johnson Services, Inc. (“J&J”), about the  nature and circumstances of a recent data security incident at Lash Group.  The incident affected  2,860 Iowa residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  "
2024,5-28-2024,"Lash Group - Johnson & Johnson Patient Assistance (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5282024_Lash_GroupJJ_PAF_2BAC6A238E899.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 28, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Johnson & Johnson Patient Assistance Foundation, Inc.  (“J&J PAF”), about the nature and circumstances of a recent data security incident at Lash Group.   The incident affected 11,242 Iowa residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s informat"
2024,5-30-2024,"Lash Group - Amgen Inc (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5302024_Lash_GroupAmgen_Inc_E155D57EE3CFB.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    May 30, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Amgen Inc. (“Amgen”), about the nature and  circumstances of a recent data security incident at Lash Group.  The incident affected 27,889 Iowa  residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained this inf"
2024,5-30-2024,"Lash Group - Sanofi US Services Inc (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5302024_Lash_GroupSanofi_US_Service_E64268E83D011.pdf,,,,Theft,"Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007  +1.215.963.5000 United States  +1.215.963.5001 Gregory T. Parks  Partner  215.963.5170    gregory.parks@morganlewis.com  May 30, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Sanofi US Services Inc. (“Sanofi”), about the nature and  circumstances of a recent data security incident at Lash Group.  The incident affected 15,073 Iowa  residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained this inf"
2024,5-31-2024,"Lash Group - Rayner Surgical Inc. (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/5312024_Lash_GroupRayner_Surgical_I_DF6708A0EF679.pdf,,,,Theft,"Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007  +1.215.963.5000 United States  +1.215.963.5001 Gregory T. Parks  Partner  215.963.5170    gregory.parks@morganlewis.com  May 31, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Rayner Surgical Inc. (“Rayner”), about the nature and  circumstances of a recent data security incident at Lash Group.  The incident affected 1,255 Iowa  residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained this informa"
2024,5-31-2024,"M.A. Ford Manufacturing Company, Inc",https://www.iowaattorneygeneral.gov/media/cms/5312024_M_59BCFF310025B.pdf,,,,Theft,"    A PRO FES SIO NAL CO RPO RAT ION  ______________        MICHAEL J. BONNER  mbonner@c-wlaw.com      SHAWN M. ADKINS  sadkins@c-wlaw.com  ATTORNEYS AT LAW    450 Sentry Parkway, Suite 200   Blue Bell, Pennsylvania 19422    Telephone: (610) 567-0700  Fax: (610) 567-0712          May 31, 2024  Via Email  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  consumer@ag.iowa.gov    RE:   Data Breach Notification    To Whom It May Concern:    We serve as counsel for M.A. Ford Manufacturing Company, Inc. (“M.A. Ford”) located at 7737  Northwest Blvd. Davenport, IA 52806. We write to provide notification of a recent data breach. By providing this  notice, M.A. Ford does not waive any rights or defenses under Iowa law, including the data breach notification  statute.     On December 14, 2023, M.A. Ford discovered unusual activity on its network. M.A. Ford immediately  began an investigation, w"
2024,6-3-2024,"Lash Group - Heron Therapeutics, Inc.(Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/632024_Lash_GroupHeron_Therapeutics_462E2AE9A6F13.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    June 3, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Heron Therapeutics, Inc. (“Heron”), about the nature  and circumstances of a recent data security incident at Lash Group.  The incident affected 536  Iowa residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintain"
2024,6-6-2024,"My Daily Choice, Inc",https://www.iowaattorneygeneral.gov/media/cms/662024_My_Daily_Choice_Inc_A88103A66DD4F.pdf,,,,Theft,"Alexander T. Walker  Office: (267) 930-4801  Fax: (267) 930-4771  Email: awalker@mullen.law 426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  June 6, 2024  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov Re:  Notice of Data Event  To Whom It May Concern:  We represent My Daily Choice, Inc. (“MDC”) located at 6713 South Eastern Avenue, Las Vegas,  Nevada 89119. We are writing to notify your office of an incident that may affect the security of  certain personal information relating to one thousand three hundred sixty-four (1,364) Iowa  residents. This notice will be supplemented with any new significant facts learned subsequent to  its submission. By providing this notice, MDC does not waive any rights or defenses regarding the  applicability of Iowa law, the applicability of the Iowa data event notification statute, or personal  j"
2024,6-7-2024,"Lash Group - Pfizer, Inc. (Cencora, Inc.)",https://www.iowaattorneygeneral.gov/media/cms/672024__Lash_GroupPfizer_7B2699BEEDE56.pdf,,,,Theft,"     Gregory T. Parks  Partner  215.963.5170  gregory.parks@morganlewis.com     Morgan, Lewis & Bockius LLP  2222 Market Street  Philadelphia, PA  19103-3007   +1.215.963.5000  United States   +1.215.963.5001    June 7, 2024  VIA EMAIL TO CONSUMER@AG.IOWA.GOV  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Notice of Data Security Incident   Dear Office of the Attorney General:  This Firm represents The Lash Group, LLC (“Lash Group”), and we are writing to notify your office  on behalf of Lash Group and its customer, Pfizer Inc. (“Pfizer”), about the nature and  circumstances of a recent data security incident at Lash Group.  The incident affected 835 Iowa  residents.  On April 10, 2024, Lash Group identified individuals whose personally identifiable information had  been exfiltrated from certain databases in Lash Group’s information systems.  Lash Group  maintained this info"
2024,6-11-2024,"Frontier Communications Parent, Inc (Frontier Internet)",https://www.iowaattorneygeneral.gov/media/cms/6112024_Frontier_Communications_Par_CBB43F247DC52.pdf,,,,Unauthorized Access,"    CONFIDENTIAL TREATMENT REQUESTED  Mayer Brown LLP 1999 K Street, N.W. Washington, DC 20006-1101 United States of America T: +1 212 506 2500 F: +1 212 262 1910 mayerbrown.com Stephen Lilley Partner T: +1 202 263 3865  slilley@mayerbrown.com June 11, 2024  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  consumer@ag.iowa.gov   Re:  Frontier Communications Parent, Inc. – Notice of Data Event    Dear Sir or Madam:     We represent Frontier Communications Parent, Inc. (“Frontier”). We are writing to notify your  Office of a recent event that may affect the security of certain personal information relating to  2,149 Iowa residents. Please note that we may supplement this notice with facts learned after its  submission and that by providing this notice, Frontier does not waive any rights or defenses,  including regarding the applicability of Iowa law, the applicability of the Iowa data "
2024,6-14-2024,Consulting Radiologists LTD,https://www.iowaattorneygeneral.gov/media/cms/6142024_Consulting_Radiologists_LTD_4D81BBA0FC082.pdf,"April 17, 2024","February 12, 2024",,Theft,"        June 14, 2024  Dominik Cvitanovic  (504)-702-1710  Dominik.Cvitanovic@wilsonelser.com   Via Electronic Mail: consumer@ag.iowa.gov    Attorney General Brenna Bird   Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Cybersecurity Incident Involving Consulting Radiologists LTD.     Dear Attorney General Bird:    Wilson Elser Moskowitz Edelman and Dicker LLP (“Wilson Elser”) represents Consulting  Radiologists LTD. (“CRL”), with respect to a recent cybersecurity incident that was first  discovered by CRL on February 12, 2024 (hereinafter, the “Incident”). CRL takes the security and  privacy of the information in its control very seriously, and has taken steps to prevent a similar  incident from occurring in the future.     This letter will serve to inform you of the nature of the Incident, what information may have been  compromised, the number of Iowa residents being notif"
2024,6-19-2024,HireQuality Solutions LLC,https://www.iowaattorneygeneral.gov/media/cms/6192024_HireQuality_Solutions_LLC_02272F638D473.pdf,,"May 7, 2024",,Unauthorized Access,"      33794278.1        Blair L. Dawson, FIP, CIPP/US, CIPP/E, CIPM  Direct Dial: 312-642-6131  E-mail: bdawson@mcdonaldhopkins.com  June 19, 2024    VIA Email (consumer@ag.iowa.gov)  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  HireQuality – Incident Notification     To Whom This May Concern:  McDonald Hopkins PLC represents HireQuality Solutions LLC (“HireQuality”). I am  writing to provide notification of an unauthorized access incident that may affect the security of  personal information of approximately five hundred and six (506) Iowa residents. HireQuality’s  investigation is ongoing, and this notification will be supplemented with any new or significant  facts or findings subsequent to this submission, if any. By providing this notice, HireQuality  does not waive any rights or defenses regarding the applicability of Iowa law or personal  jurisdiction.     On Decemb"
2024,6-20-2024,"Vannguard Utility Partners, Inc.",https://www.iowaattorneygeneral.gov/media/cms/6202024_Vannguard_Utility_Partners__F544B7CE9572A.pdf,,,,Unauthorized Access,"Angelina W. Freind  Office: (267) 930-4782  Fax: (267) 930-4771  Email: afreind@mullen.law 426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  June 20, 2024  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov Re:  Notice of Data Event  To Whom It May Concern:  We represent Vannguard Utility Partners, Inc. (“Vannguard”) located at 5927 Haase Road,  DeForest, Wisconsin 53532, and are writing to notify your office of an incident that may affect the  security of certain personal information relating to 550 Iowa residents.  The investigation into this  matter is ongoing, and this notice will be supplemented with any new significant facts learned  subsequent to its submission.  By providing this notice, Vannguard does not waive any rights or  defenses regarding the applicability of Iowa law, the applicability of the Iowa data event  notifica"
2024,6-26-2024,Ticketmaster LLC,https://www.iowaattorneygeneral.gov/media/cms/6262024_Ticketmaster_LLC_A91448C1685FD.pdf,,,,Unauthorized Access,"1 (202) 551-1965  sherresesmith@paulhastings.com  June 26, 2024  VIA E-MAIL  Attorney General Brenna Bird  Iowa Office of the Attorney General  Consumer Protection Division  1305 E. Walnut Street  Des Moines, IA 50319  consumer@ag.iowa.gov  Re:  Incident Notification  Dear Attorney General Bird:  We are writing on behalf of Ticketmaster LLC (“Ticketmaster”), to provide notice regarding a data security  incident which may involve the personal information of certain Iowa residents, pursuant to Iowa Code  § 715C.2(8).  By providing this notice, Ticketmaster does not waive any rights or defenses regarding the applicability of Iowa law. On May 20, 2024, Ticketmaster identified unauthorized activity within a third-party cloud database  environment containing Ticketmaster data. In response, Ticketmaster immediately launched an  investigation and engaged industry-leading cybersecurity forensic investigators to determine the nature and  scope of the activity. On May 23, 2024, Ticketmaster reach"
2024,6-27-2024,"Infosys McCamish Systems, LLC (Ocenview Life)",https://www.iowaattorneygeneral.gov/media/cms/6272024_Infosys_McCamish_Systems_LL_650F850677488.pdf,"June 27, 2024",,,Ransomware,"     DLA Piper LLP (US)  One Liberty Place  1650 Market Street  Suite 5000  Philadelphia, Pennsylvania 19103-7300  www.dlapiper.com  Ron Plesco     ron.plesco@us.dlapiper.com  T   215.656.2453  F   215.606.2053     June 27, 2024     VIA EMAIL    Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  consumer@ag.iowa.gov      RE: Notice of Data Event    Dear Sir or Madam:    We represent Infosys McCamish Systems, LLC (“IMS”) and are writing to notify your Office of a compromise  that affected the security of certain personal information relating to 54,175 Iowa residents. IMS is a  processor and supports corporate and business market operations for certain organizations. By providing  this notice, IMS does not waive any rights or defenses, including but not limited to rights or defenses  regarding the applicability of Iowa law, the applicability of Iowa data event notification statute, or pe"
2024,6-28-2024,Gilbert Community School District,https://www.iowaattorneygeneral.gov/media/cms/6282024_Gilbert_Community_School_Di_EB4397E60821A.pdf,"January 10, 2024",,,Unauthorized Access,"Richard Aponte-Boyd Office: (267) 930-4888 Fax: (267) 930-4771 Email: raponte@mullen.law 426 W. Lancaster Avenue, Suite 200 Devon, PA 19333 Mullen.law June 28, 2024 VIA E-MAIL Office of the Attorney General of Iowa Consumer Protection Division Security Breach Notifications 1305 E. Walnut Street Des Moines, IA 50319-0106 E-mail: consumer@ag.iowa.gov Re:  Notice of Data Event To Whom It May Concern: We represent Gilbert Community School District (“GCSD”) located at 103 Mathews Drive, Gilbert, Iowa 50105, and write to notify your office of an incident that may affect the security of certain personal information relating to seventeen hundred thirty (1,730) Iowa residents. This notice will be supplemented with any new significant facts learned subsequent to its submission. By providing this notice, GCSD does not waive any rights or defenses regarding the applicability of Iowa law, the applicability of the Iowa data event notification statute, or personal jurisdiction. Nature of the Data Eve"
2024,7-2-2024,Egyptian Health Department (Illinois),https://www.iowaattorneygeneral.gov/media/cms/722024_Egyptian_Health_Department_BE3499F44B28F.pdf,"December 21, 
2023","December 21, 
2023",,Theft,"JUL 9 '24 pm12»49 Joseph M, Fusz 312.821.6141 (direct) Joseph.fusz@wilsonelser.com July 2, 2024 Via US Mail Attorney General Brenna Bird  Consumer Protection Division  Attn: Security Breach Notification  Hoover State Office Building  1305 E. Walnut Street Certified Article Number ^414 7Ekk Tm 2211 5H23 % SENDER’S RECORD Re: Data Incident Involving Egyptian Health Department Dear Attorney General Bird: Wilson Elser Moskowitz Edelman and Dicker LLP (“Wilson Elser”) represents Egyptian Health  Department (“EHD”), a behavioral health service provider located at 715 E Church St, Harrisburg,  IL 62946, with respect to a recent data incident that was first discovered by EHD on December 21,  2023 (hereinafter, the “Incident”). EHD takes the security and privacy of the information in its  control very seriously, and has taken steps to prevent a similar incident from occurring in the  future. This letter will serve to inform you of the nature of the Incident, what information may have been  comp"
2024,7-5-2024,"Wise US, Inc (Evolve Bank & Trust)",https://www.iowaattorneygeneral.gov/media/cms/752024_Wise_US_Inc_73A83FDFF3FC7.pdf,,,,Phishing,"Wise 30 w 26th Street 6th Floor New York, NY 10010 Brenna Bird Iowa Attorney General Hoover State Office Bldg. 1305 E. Walnut Des Moines, IA 50319 Email: consumer@ag.iowa.gov Dear Attorney General Brenna Bird, This is to inform you of a data breach relating to Evolve Bank & Trust (“Evolve”), a former US banking partner of Wise US, Inc. (Wise). This is part of a wider industry incident which has impacted several financial institutions in the US and globally, where bad actors have released data from Evolve on the dark web. This notification is being provided in accordance with [state name] data privacy notification requirements. Impacted Partner and our Relationship with them Our arrangement with Evolve ended in November 2023. Between October 2020 and November 2023, Evolve was issuing USD account details to Wise US Inc. (“Wise US”) customers. In order for our customers to obtain access to these USD account details, specific customer personal data had to be shared with Evolve, and it is t"
2024,7-8-2024,Evolve Bank & Trust,https://www.iowaattorneygeneral.gov/media/cms/782024_Evolve_Bank__Trust_0EA8AB7F1B6BF.pdf,,,,Theft,"     Orrick, Herrington & Sutcliffe LLP  401 Union Street  Suite 3300  Seattle, WA 98101-2668  +1 206 839 4300  orrick.com  Joseph C Santiesteban  E jsantiesteban@orrick.com  D +1 206 839 4352  F +1 206 839 4301  July 8, 2024    VIA E-MAIL  consumer@ag.iowa.gov       RE: Notice of Security Event - Evolve Bank & Trust     To Whom It May Concern:  I am writing on behalf of our law firm client, Evolve Bank & Trust (“the Bank”), a private company  with its principal place of business at 6000 Poplar Ave # 300, Memphis, TN 38119, to provide  notice of a security event.   In late May 2024, the Bank identified that some of its systems were not working properly.  While   it initially appeared to be a hardware failure,  the Bank subsequently learned it was unauthorized  activity. The Bank promptly initiated its incident response processes and stopped the attack. The  Bank  has  seen  no  new  unauthorized  activity since May 31, 2024. The Bank engaged outside      specialists to investigate what"
