Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
"Webster Five Cents Savings
Bank",,11/29/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/29/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/29/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/29/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/29/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/30/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/30/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/30/2012,,,Massachusetts,Unknown,Unknown,
"The Roman Catholic Bishop of
Springfield, ""The Diocese""",,11/30/2012,,,Massachusetts,Unknown,Unknown,
Advanced Data Processing,,11/30/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,11/30/2012,,,Massachusetts,Unknown,Unknown,
Savers Bank,,11/30/2012,,,Massachusetts,Unknown,Unknown,
Savers Bank,,11/30/2012,,,Massachusetts,Unknown,Unknown,
Adams Community Bank,,11/30/2012,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,11/30/2012,,,Massachusetts,Unknown,Unknown,
ValPak,,12/2/2012,,,Massachusetts,Unknown,Unknown,
Marlborough Savings Bank,,12/3/2012,,,Massachusetts,Unknown,Unknown,
Bristol County Savings Bank,,12/3/2012,,,Massachusetts,Unknown,Unknown,
Bristol County Savings Bank,,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/3/2012,,,Massachusetts,Unknown,Unknown,
Peoples Bank,,12/3/2012,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,12/3/2012,,,Massachusetts,Unknown,Unknown,
Nationwide,,12/3/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/4/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/5/2012,,,Massachusetts,Unknown,Unknown,
"Primerica, Inc.",,12/6/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/7/2012,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,12/7/2012,,,Massachusetts,Unknown,Unknown,
"WeiserMazars, LLC",,12/7/2012,,,Massachusetts,Unknown,Unknown,
Savers Bank,,12/10/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/10/2012,,,Massachusetts,Unknown,Unknown,
Adams Community Bank,,12/10/2012,,,Massachusetts,Unknown,Unknown,
Bristol County Savings Bank,,12/11/2012,,,Massachusetts,Unknown,Unknown,
Metro Credit Union,,12/11/2012,,,Massachusetts,Unknown,Unknown,
LexisNexis,,12/11/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/12/2012,,,Massachusetts,Unknown,Unknown,
Deutsches Altenheim Inc.,,12/12/2012,,,Massachusetts,Unknown,Unknown,
Marlborough Savings Bank,,12/12/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/12/2012,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,12/12/2012,,,Massachusetts,Unknown,Unknown,
Savers Bank,,12/12/2012,,,Massachusetts,Unknown,Unknown,
Savers Bank,,12/13/2012,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,12/13/2012,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,12/13/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/13/2012,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,12/13/2012,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,12/14/2012,,,Massachusetts,Unknown,Unknown,
"Fanatics, Inc.",,12/14/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/14/2012,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,12/16/2012,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Bristol County Savings Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
"Center for Living & Working, Inc.",,12/17/2012,,,Massachusetts,Unknown,Unknown,
Middlesex Savings Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Child & Family,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Wilton Brands LLC,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,12/17/2012,,,Massachusetts,Unknown,Unknown,
World Travel Holdings LLP,,12/18/2012,,,Massachusetts,Unknown,Unknown,
Macy's,,12/18/2012,,,Massachusetts,Unknown,Unknown,
Vanguard Marketing Corporation,,12/18/2012,,,Massachusetts,Unknown,Unknown,
Mt Diable Unified School District,,12/18/2012,,,Massachusetts,Unknown,Unknown,
"Western University of Health
Sciences",,12/19/2012,,,Massachusetts,Unknown,Unknown,
Harvard University,,12/19/2012,,,Massachusetts,Unknown,Unknown,
Marlborough Savings Bank,,12/19/2012,,,Massachusetts,Unknown,Unknown,
Jetro/Restraunt Depot,,12/19/2012,,,Massachusetts,Unknown,Unknown,
Experian,,12/20/2012,,,Massachusetts,Unknown,Unknown,
"AT&T Service, Inc.",,12/20/2012,,,Massachusetts,Unknown,Unknown,
Catlin Inc.,,12/20/2012,,,Massachusetts,Unknown,Unknown,
Irvine Scientific,,12/20/2012,,,Massachusetts,Unknown,Unknown,
Columbia University,,12/20/2012,,,Massachusetts,Unknown,Unknown,
Citibank,,12/20/2012,,,Massachusetts,Unknown,Unknown,
Discover,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Discover,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Discover,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Discover,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Vanguard,,12/21/2012,,,Massachusetts,Unknown,Unknown,
"Abacus Management
Technologies, LLC",,12/21/2012,,,Massachusetts,Unknown,Unknown,
Equifax,,12/21/2012,,,Massachusetts,Unknown,Unknown,
Marlborough Savings Bank,,12/26/2012,,,Massachusetts,Unknown,Unknown,
Marlborough Savings Bank,,12/26/2012,,,Massachusetts,Unknown,Unknown,
Adams Community Bank,,12/26/2012,,,Massachusetts,Unknown,Unknown,
Peoples Bank,,12/26/2012,,,Massachusetts,Unknown,Unknown,
FannieMae,,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,12/26/2012,,,Massachusetts,Unknown,Unknown,
Bristol County Savings Bank,,12/27/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/27/2012,,,Massachusetts,Unknown,Unknown,
The Home for Little Wanderers,,12/27/2012,,,Massachusetts,Unknown,Unknown,
"Capital One, N.A.",,12/27/2012,,,Massachusetts,Unknown,Unknown,
Harbor Medical Associates,,12/27/2012,,,Massachusetts,Unknown,Unknown,
American Express,,12/28/2012,,,Massachusetts,Unknown,Unknown,
Marlborough Savings Bank,,12/28/2012,,,Massachusetts,Unknown,Unknown,
Blue Cross Blue Shield of MA,,12/31/2012,,,Massachusetts,Unknown,Unknown,
Adams Community Bank,,12/31/2012,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,12/31/2012,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,12/31/2012,,,Massachusetts,Unknown,Unknown,
"Metrowest Regional Transit
Authority",,12/31/2012,,,Massachusetts,Unknown,Unknown,
Abington Bank,,1/2/2013,,,Massachusetts,Unknown,Unknown,
Abington Bank,,1/2/2013,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,1/3/2013,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,1/3/2013,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,1/3/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/3/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/3/2013,,,Massachusetts,Unknown,Unknown,
Oldcastle Law Group,,1/3/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/3/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/4/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/4/2013,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/4/2013,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/4/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
Eastern Bank,,1/5/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/7/2013,,,Massachusetts,Unknown,Unknown,
"Capital One, National Association",,1/7/2013,,,Massachusetts,Unknown,Unknown,
Experian,,1/7/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/8/2013,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,1/8/2013,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,1/8/2013,,,Massachusetts,Unknown,Unknown,
Humana,,1/8/2013,,,Massachusetts,Unknown,Unknown,
South Shore Medical Center,,1/9/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/9/2013,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/10/2013,,,Massachusetts,Unknown,Unknown,
"Capital One, National Association",,1/10/2013,,,Massachusetts,Unknown,Unknown,
Adams Community Bank,,1/10/2013,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,1/10/2013,,,Massachusetts,Unknown,Unknown,
Mutual One Bank,,1/10/2013,,,Massachusetts,Unknown,Unknown,
St. Mary's Credit Union,,1/10/2013,,,Massachusetts,Unknown,Unknown,
"Metropolitan Life Insurance
Company",,1/10/2013,,,Massachusetts,Unknown,Unknown,
North Shore Medical Center,,1/10/2013,,,Massachusetts,Unknown,Unknown,
"Clark, Friel and Joyce, PA",,1/10/2013,,,Massachusetts,Unknown,Unknown,
"St, Mary's Credit Union",,1/10/2013,,,Massachusetts,Unknown,Unknown,
"St, Mary's Credit Union",,1/10/2013,,,Massachusetts,Unknown,Unknown,
"St, Mary's Credit Union",,1/10/2013,,,Massachusetts,Unknown,Unknown,
"Centric Group, L.L.C.",,1/12/2013,,,Massachusetts,Unknown,Unknown,
Hebrew Health Care,,1/14/2013,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/15/2013,,,Massachusetts,Unknown,Unknown,
"Beth Israel Deaconess Medical
Center",,1/15/2013,,,Massachusetts,Unknown,Unknown,
Vanguard,,1/16/2013,,,Massachusetts,Unknown,Unknown,
Vanguard,,1/16/2013,,,Massachusetts,Unknown,Unknown,
Prudential Financial,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Prudential Financial,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Savers Bank,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Webster Five,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Webster Five,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Webster Five,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Webster Five,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,1/17/2013,,,Massachusetts,Unknown,Unknown,
Salem Five,,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
"Webster Five Cents Savings
Bank",,1/17/2013,,,Massachusetts,Unknown,Unknown,
Federal Network Systems LLC,,1/18/2013,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Eagle Bank,,1/22/2013,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,1/22/2013,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,1/22/2013,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,1/22/2013,,,Massachusetts,Unknown,Unknown,
"Newburyport Five Cents Savings
Bank",,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
Discover,,1/22/2013,,,Massachusetts,Unknown,Unknown,
"Taunton Assisted Living Limited
Partnersip",,1/22/2013,,,Massachusetts,Unknown,Unknown,
American Express,,1/24/2013,,,Massachusetts,Unknown,Unknown,
Contact Solutions LLC,,1/24/2013,,,Massachusetts,Unknown,Unknown,
"NECA/IBEW Family Medical Care
Plan",,1/24/2013,,,Massachusetts,Unknown,Unknown,
Wilton Brands LLC,,1/28/2013,,,Massachusetts,Unknown,Unknown,
"Publishers Circulation Fulfillment,
Inc.",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"Capital One, National Association",,1/28/2013,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,1/28/2013,,,Massachusetts,Unknown,Unknown,
Pilgrim Bank,,1/28/2013,,,Massachusetts,Unknown,Unknown,
Bridgewater Savings Bank,,1/28/2013,,,Massachusetts,Unknown,Unknown,
Aflac,,1/28/2013,,,Massachusetts,Unknown,Unknown,
RR Donnelley,,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"The Cooperative Bank of Cape
Cod",,1/28/2013,,,Massachusetts,Unknown,Unknown,
"Residential Mortgage Services,
Inc.",,1/30/2013,,,Massachusetts,Unknown,Unknown,
Stethoscope.com LLC,,1/30/2013,,,Massachusetts,Unknown,Unknown,
Virtusa Corporation,,1/31/2013,,,Massachusetts,Unknown,Unknown,
Brigham and Women's Hospital,,2/1/2013,,,Massachusetts,Unknown,Unknown,
"Metropolitan Life Insurance
Company",,2/1/2013,,,Massachusetts,Unknown,Unknown,
"HSBC Bank USA, N.A.",,2/1/2013,,,Massachusetts,Unknown,Unknown,
Horace Mann Companies,,2/4/2013,,,Massachusetts,Unknown,Unknown,
Zalicus Inc,,2/4/2013,,,Massachusetts,Unknown,Unknown,
Adams Community Bank,,2/4/2013,,,Massachusetts,Unknown,Unknown,
American Express,,2/4/2013,,,Massachusetts,Unknown,Unknown,
The Howland-Hughes Company,,2/4/2013,,,Massachusetts,Unknown,Unknown,
The Lone Cypress Company,,2/4/2013,,,Massachusetts,Unknown,Unknown,
Peoples Bank,,2/4/2013,,,Massachusetts,Unknown,Unknown,
Winchest Home Care,,2/5/2013,,,Massachusetts,Unknown,Unknown,
